id,Имя,Лимит,"Цена, софт","Цена,Хард","Цена, зачеркнутая харда",Дата начала,Дата окончания,Сегмент,Тип,даты запуска продаж,Комментарий
2839 - mask_v,Маска Гая,,,200,439,24.10.2019,31.10.2019,1 \ 2 \ 3 \ 4,Аксессуар,,
743 - wings_2,Черные крылья,,,250,589,10.10.2019,17.10.2019,1 \ 2 \ 3 \ 4,Аксессуар,,
522,Ducati Desmosedici,,,3 990,10 000,18.03.2021,25.03.2021,1\2\ 3 \ 4,Транспорт,,
461,CBR1000RR,,,1 490,5 000,11.03.2021,18.03.2021,1 \ 2 \ 3 \ 4,Транспорт,,
1,ЦАРЬ,,,990,#REF!,11.02.2021,18.02.2021,1 \ 2 \ 3,Номера,,флаг рф
2,БОГ,,,490,,11.02.2021,18.02.2021,2 \ 3 \ 4,Номера,,флаг рф
3,ГРАФ,,,990,,,06.01.1900,1 \ 2 \ 3,Номера,,
4,ГЕРОЙ,,,1 490,,,06.01.1900,2 \ 3 \ 4,Номера,,
5,БАНДИТ,,,990,4 990,29.04.2021,06.05.2021,1 \ 2 \ 3,Номера,,
6,ТИТАН,,,490,2 990,25.02.2021,04.03.2021,2 \ 3 \ 4,Номера,,
7,АНГЕЛ,,,490,2 990,29.04.2021,06.05.2021,1 \ 2 \ 3,Номера,,
8,АТАМАН,,,990,,,06.01.1900,2 \ 3 \ 4,Номера,,
9,ЯСТРЕБ,,,1 490,,,06.01.1900,1 \ 2 \ 3,Номера,,
10,МУЖИК,,,990,,18.02.2021,25.02.2021,1 \ 2 \ 3,Номера,,
11,ТАНК,,,490,,18.02.2021,25.02.2021,2 \ 3 \ 4,Номера,,
12,СМЕРТЬ,,,990,4 990,18.03.2021,25.03.2021,1 \ 2 \ 3,Номера,,
13,ЗАКОН,,,490,,08.07.2020,15.07.2020,2 \ 3 \ 4,Номера,,
14,ПОБЕДА,,,1 490,,,06.01.1900,2 \ 3 \ 4,Номера,,
15,ЭСТЕТ,,,990,,,06.01.1900,1 \ 2 \ 3,Номера,,
16,ГОНЩИК,,,490,2 990,18.03.2021,25.03.2021,2 \ 3 \ 4,Номера,,
17,НАГЛЫЙ,,,490,,25.02.2021,04.03.2021,1 \ 2 \ 3,Номера,,Флаг РФ
18,ХИЩНИК,,,490,,05.11.2020,12.11.2020,2 \ 3 \ 4,Номера,,
19,ЕЕ-РОК,,,690,,22.04.2021,29.04.2021,1 \ 2 \ 3,Номера,,
20,ППЦ,,,990,,22.04.2021,29.04.2021,2 \ 3 \ 4,Номера,,
21,OFF WHITE,,,990,,12.11.2020,19.11.2020,1 \ 2 \ 3,Номера,,Флаг РФ
22,ЕБОЙ,,,990,,,06.01.1900,2 \ 3 \ 4,Номера,,
23,МОТОР,,,690,,,06.01.1900,1 \ 2 \ 3,Номера,,
24,ВИТЯЗЬ,,,,,,,1 \ 2,Номера,,удалено
25,ЮРИСТ,,,,,,06.01.1900,2 \ 3 \ 4,Номера,,
26,АРТИСТ,,,,,,06.01.1900,1 \ 2 \ 3,Номера,,
27,КОРОНА,,,,,,06.01.1900,2 \ 3 \ 4,Номера,,
28,ТЕРРОР,,,490,,12.11.2020,19.11.2020,2 \ 3 \ 4,Номера,,Флаг РФ
29,ЮВЕЛИР,,,,,,06.01.1900,3 \ 4,Номера,,
30,ГЕРБ,,,990,,,06.01.1900,3 \ 4,Номера,,
31,ЗЛОЙ,,,490,2 990,11.03.2021,18.03.2021,2\ 3 \4,Номера,,
32,КАБАН,,,1 990,,,06.01.1900,1 \ 2,Номера,,
33,АЛМАЗ,,,490,,,06.01.1900,3 \ 4,Номера,,
34,ОПЛОТ,,,490,,,06.01.1900,3 \ 4,Номера,,
35,ЛЕБЕДЬ,,,990,,,06.01.1900,3 \ 4,Номера,,
36,ЦЕННЫЙ,,,990,,,06.01.1900,3 \ 4,Номера,,
37,ЮПИТЕР,,,490,,,06.01.1900,3 \ 4,Номера,,
38,ЦЕЛЬ,,,490,,19.11.2020,26.11.2020,2 \ 3 \ 4,Номера,,
39,ВОЯЖ,,,490,,,06.01.1900,3 \ 4,Номера,,
40,НОЧЬ,,,690,,,06.01.1900,3 \ 4,Номера,,
41,ПОБЕГ,,,490,,,06.01.1900,3 \ 4,Номера,,
42,228,,,1 290,,,06.01.1900,3 \ 4,Номера,,
43,ИЛОНМАСК,,,490,,,06.01.1900,3 \ 4,Номера,,
44,ВАМПИР,,,690,,,06.01.1900,3 \ 4,Номера,,
45,КОНВОЙ,,,490,,,06.01.1900,3 \ 4,Номера,,
46,ПНХ,,,990,2 990,11.03.2021,18.03.2021,1 \ 2 \ 3,Номера,,
47,РАТАТА,,,1 390,,,06.01.1900,1 \ 2,Номера,,
48,КАРАНТИН,,,490,,,,3 \ 4,Номера,,удалено
6538,Tesla model s,,5 900 000,5 900,9 000,,,3 \ 4,Транспорт,,удалено
6539,Mercedes s cl coupe,,11 900 000,4 990,16 000,04.02.2021,11.02.2021,1 \ 2,Транспорт,,
6540,AUDI RS5,,6 900 000,4 490,9 000,14.01.2021,21.01.2021, 1/ 2,Транспорт,,
6541,Mclaren SLR,,12 900 000,12 900,15 000,17.10.2019,31.10.2019,1 \ 2,Транспорт,,удален
6542,Audi TT(8S),,4 900 000,3 490,7 000,01.04.2021,08.04.2021,1 \ 2\ 3,Транспорт,,
6543,Jaguar F-Type SVR,,6 900 000,4 900,10 000,15.10.2020,22.10.2020,1 \ 2,Транспорт,,в салон
6544,G 500 4X4,,9 990 000,,,,,,,,удалено
6545,Mercedes GLE 63S coupe AMG,,9 490 000,4 900,10 000,22.04.2021,29.04.2021,1 \ 2 ,Транспорт,,
6548,KIA Stinger,,3 900 000,2 190,4 000,21.01.2021,28.01.2021,3 \ 4,Транспорт,,
6549,Lexus IS 350,,4 390 000,2 900,6 000,16.04.2020,30.04.2020,3 \ 4,Транспорт,,удален
6551,Nightmare Mercedes-Benz G500,,8 490 000,8 490,16 000,29.10.2020,05.11.2020,1 \ 2 \ 3 \ 4,Транспорт,,ивент хэллуин
453,Pershing 50,,,5 490,10 000,18.03.2021,25.03.2021,1 \ 2 \ 3,Транспорт,,удалено
7,Бен,,,139,500,09.04.2020,16.04.2020,1 \ 2 \ 3 \ 4,Скин,,
17,Мик,,,199,600,30.04.2020,07.05.2020,1 \ 2 \ 3 \ 4,Скин,,
27,Дениель,,,149,350,27.08.2020,03.09.2020,1 \ 2 \ 3 \ 4,Скин,,
137,Блэк,,,199,400,25.02.2021,04.03.2021,1 \ 2 \ 3 \ 4,Скин,,
142,Лилу,,,159,400,30.04.2020,07.05.2020,1 \ 2 \ 3 \ 4,Скин,,
guitar3,Рок_гитара,,,110,319,28.11.2019,05.12.2019,1 \ 2 \ 3 \ 4,Аксессуар,,2427
mask_grey,Респиратор_черный,,,120,369,28.11.2019,05.12.2019,1 \ 2 \ 3 \ 4,Аксессуар,,2856
katana,Катана,,,99,459,29.04.2021,06.05.2021,1 \ 2 \ 3 \ 4,Аксессуар,,2821
cap4,Шляпа_лепрекона,,,79,299,05.12.2019,12.12.2019,1 \ 2 \ 3 \ 4,Аксессуар,,2218
cap5,Шляпа_ведьмы,,,69,249,02.01.2020,09.01.2020,1 \ 2 \ 3 \ 4,Аксессуар,,2219
scream,Маска_крика,,,99,339,02.01.2020,09.01.2020,1 \ 2 \ 3 \ 4,Аксессуар,,638
glasses3,Тактические_очки,,,69,279,12.12.2019,19.12.2019,1 \ 2 \ 3 \ 4,Аксессуар,,2355
m2_asce19,Маска череп,,,149,449,12.12.2019,19.12.2019,1 \ 2 \ 3 \ 4,Аксессуар,,1415
mask_scorp,Маска Скорпиона,,,200,599,29.04.2021,06.05.2021,1 \ 2 \ 3 \ 4,Аксессуар,,1549
m2_asce22,Маска Watch,,,235,699,22.04.2021,29.04.2021,1 \ 2 \ 3 \ 4,Аксессуар,,1343
m2_asce21,Мечи,,,99,449,05.03.2020,12.03.2020,1 \ 2 \ 3 \ 4,Аксессуар,,1369
m2_asce07,Жиганка,,,100,299,26.12.2019,02.01.2020,1 \ 2 \ 3 \ 4,Аксессуар,,1777
m2_asce11,Молот_Тора,,,49,299,12.12.2019,19.12.2019,1 \ 2 \ 3 \ 4,Аксессуар,,2670
m2_asce06,Каска,,,130,399,26.12.2019,02.01.2020,1 \ 2 \ 3 \ 4,Аксессуар,,1773
m2_asce17,Шлем_с_рогами,,,99,409,02.01.2020,09.01.2020,1 \ 2 \ 3 \ 4,Аксессуар,,1436
409,Jaguar XF RS,100,8 900 000,4 900,9 000,18.02.2021,25.02.2021,1 \ 2 \ 3 \ 4,Транспорт,,"Лимитированные, из салона не удалять"
542,Rolls-Royce Wraith,,14 900 000,8000,15 000,19.12.2019,02.01.2020,,Транспорт,,в салон
555,Mazda RX7,,6 900 000,3 490,7 000,30.07.2020,06.08.2020,1 \ 2,Транспорт,,в салон
550,Lexus GS-F 2018,,7 900 000,4 490,8 000,26.12.2019,30.01.2020,1 \ 2,Транспорт,,удален
6554,Mercedes Benz A45,,3 390 000,1 990,3 400,08.10.2020,15.10.2020,3 \ 4,Транспорт,,
6555,Volvo XC90 2017,,4 490 000,2 390,4 500,18.02.2021,25.02.2021,3 \ 4,Транспорт,,
6557,Ford Fiesta,,1 490 000,990,2 000,04.03.2021,11.03.2021,3 \ 4,Транспорт,,
6558,Range Rover SVR,,13 900 000,,14 000,12.12.2019,26.12.2019,,Транспорт,,в салон
6559,Skoda Rapid,,2 190 000,1 700,3 100,,06.01.1900,3 \ 4,Транспорт,,в салон
6536,hummer h2,,7 000 000,3 990,7 000,09.01.2020,16.01.2020,1 \ 2 \ 3 \ 4,Транспорт,,
6561,BMW X5M E70,,8 000 000,4 900,10 000,08.04.2021,15.04.2021,1 \ 2,Транспорт,,
6563,Grand Cherokee,,4 500 000,2 990,6 000,07.01.2021,14.01.2021,3 \ 4,Транспорт,,
6565,Mercedes W221 AMG,,6 000 000,4 490,10 000,15.04.2021,22.04.2021,1 \ 2,Транспорт,,
494,Honda NSX,,4 500 000,3 490,7 000,13.08.2020,20.08.2020,1 \ 2 \ 3,Транспорт,,удалено
505,BMW M6 (E24),,1 990 000,1 990,4000,08.04.2021,15.04.2021,1 \ 2 \ 3 \ 4,Транспорт,,
6570,Honda S2000,,4 000 000,2 990,4 000,12.03.2020,26.03.2020,1 \ 2,Транспорт,,удалено
6574,Nissan 350Z,,5 490 000,3 490,5 500,10.09.2020,17.09.2020,3 \ 4,Транспорт,,
6575,Skoda Octavia RS 2017,,4 490 000,2 490,4 500,19.03.2020,02.04.2020,3 \ 4,Транспорт,,удалено
6577,Nissan Silvia,,4 790 000,2 490,6 000,03.12.2020,10.12.2020,1 \ 2,Транспорт,,в салон
6568,Aston Martin db5 1963,,8 900 000,3 900,14 000,09.12.2020,16.12.2020,1 \ 2 ,Транспорт,,
288,Ганстер,,549000,119,549,26.03.2020,02.04.2020,1 \ 2\ 3 \4,Скин,,
6572,Mazda RX-8,,5 000 000,3 490,5 000,02.04.2020,16.04.2020,1 \ 2 \ 3,Транспорт,,удален
6584,Газ-Т34,,2900000,1 990,6 000,07.05.2020,14.05.2020,1 \ 2\ 3 \4,Транспорт,,
6586,Mitsubishi Pajero 94,,2490000,1 990,3 490,19.11.2020,26.11.2020,3 \ 4,Транспорт,,в салон
6583,BMW M3 GTR (e46),,3 490 000,2 490,5 000,11.02.2021,18.02.2021,3 \ 4,Транспорт,,
283,Белый,,199 000,199,4 500,14.05.2020,21.05.2020,1 \ 2\ 3 \4,Скин,,
284,Космос,,199 000,199,4 000,21.05.2020,04.06.2020,1 \ 2\ 3 \4,Скин,,удалено
282,Фил,,199 000,199,4 000,28.05.2020,11.06.2020,1 \ 2\ 3 \4,Скин,,удалено
6720,Шут,,799 000,199,2 000,18.06.2020,25.06.2020,1 \ 2\ 3 \4,Скин,,
,,,,99,1 000,,06.01.1900,1 \ 2\ 3 \4,Скин,,удално
m2_asce12,Бронежилет суприм,,999,119,999,01.04.2021,08.04.2021,1 \ 2\ 3 \4,Аксессуар,,2042
m3_acse01,Сомбреро,,799,69,799,08.04.2021,15.04.2021,1 \ 2\ 3 \4,Аксессуар,,935
m3_acse05,Маска доктора,,599,99,599,08.04.2021,15.04.2021,1 \ 2\ 3 \4,Аксессуар,,1362
m3_acse09,Маска Бейна,,599,99,599,15.04.2021,22.04.2021,1 \ 2\ 3 \4,Аксессуар,,2039
48,КАРАНТИН,,1990,690,1 990,09.04.2020,16.04.2020,3 \ 4,Номера,,1
49,ВИРУС,,2 990,990,1 990,09.04.2020,16.04.2020,1 \ 2,Номера,,2
50,ШУЕ,,1 990,490,1 990,23.04.2020,30.04.2020,3 \ 4,Номера,,2
51,UNO,,2 990,990,1 990,16.04.2020,23.04.2020, 1 \ 2 ,Номера,,1
52,РОШАН,,1 990,590,1 990,23.04.2020,30.04.2020,3\ 4,Номера,,2
53,ДУМЕР,,1 990,690,1 990,30.04.2020,07.05.2020,3 \ 4,Номера,,1
54,ХТО,,1 990,990,1 990,30.04.2020,07.05.2020,1 \ 2,Номера,,1
55,ЛАПЕНКО,,1 990,490,1 990,16.04.2020,23.04.2020,3 \4,Номера,,2
m3_acse10,Маска джейсона,,499,119,999,22.04.2021,29.04.2021,1 \ 2\ 3 \4,Аксессуар,,2 040
m3_acse02,Наплечник золотой,,399,99,799,15.04.2021,22.04.2021,1 \ 2\ 3 \4,Аксессуар,,944
m3_acse07,Серебряная цепь,,299,69,599,14.05.2020,21.05.2020,1 \ 2\ 3 \4,Аксессуар,,1685
56,ПОБЕДА,,2 990,1 390,4 990,07.05.2020,14.05.2020,1 \ 2,Номера,,1
57,ДЕД,,990,690,4 990,07.05.2020,14.05.2020,3 \4,Номера,,2
182,Боец Спарты,,,199,4 000,07.05.2020,14.05.2020,1 \ 2\ 3 \4,Скин,,
57,БАНДИТ,,,990,4 990,14.05.2020,21.05.2020,1 \ 2,Номера,,1
57,КАРАТЕЛЬ,,,690,4 990,14.05.2020,21.05.2020,3 \4,Номера,,2
16,Джон,,490000,129,490,04.06.2020,11.06.2020,1 \ 2\ 3 \4,Скин,,
58,ВАЙБ,,,990,4 990,21.05.2020,28.05.2020,1 \ 2,Номера,,1
59,ПОПРАВКИ,,,490,4 990,21.05.2020,28.05.2020,3 \4,Номера,,2
60,удАЛЕНКА,,,690,4 990,28.05.2020,04.06.2020,1 \ 2,Номера,,1
61,ПЕЧЕНЕГ,,,490,4 990,28.05.2020,04.06.2020,3 \4,Номера,,2
s1,Вестерн,,,149,449,18.06.2020,02.07.2020,1 \ 2\ 3 \4,Винил, ,удален
s2,Гангстер,,,69,349,21.01.2021,28.01.2021,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/1T1Udi4vrNqy8FtuCD32ttbi5_72LoLuF
s3,Девушка стимпанк,,,69,449,11.02.2021,18.02.2021,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/1T1Udi4vrNqy8FtuCD32ttbi5_72LoLuF
s4,Джокер,,,169,499,06.05.2021,13.05.2021,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/1T1Udi4vrNqy8FtuCD32ttbi5_72LoLuF
s5,Кибердевушка,,,139,449,07.01.2021,14.01.2021,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/1T1Udi4vrNqy8FtuCD32ttbi5_72LoLuF
s6,Ковбой,,,99,399,21.05.2020,04.06.2020,1 \ 2\ 3 \4,Винил, ,удален
s7,Катакомбы,,,119,599,29.10.2020,05.11.2020,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/1T1Udi4vrNqy8FtuCD32ttbi5_72LoLuF
s8,Маска,,,199,599,04.02.2021,11.02.2021,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/1T1Udi4vrNqy8FtuCD32ttbi5_72LoLuF
s9,Мужик,,,69,349,24.12.2020,31.12.2020,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/1T1Udi4vrNqy8FtuCD32ttbi5_72LoLuF
s10,Убийца,,,99,499,22.10.2020,29.10.2020,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/1T1Udi4vrNqy8FtuCD32ttbi5_72LoLuF
s11,Череп в дыму,,,199,599,29.04.2021,06.05.2021,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/1T1Udi4vrNqy8FtuCD32ttbi5_72LoLuF
s18,Off White 1,,,69,349,04.06.2020,18.06.2020,1 \ 2\ 3 \4,Винил, ,удалено
s19,Off White 2,,,99,399,02.07.2020,16.07.2020,1 \ 2\ 3 \4,Винил, ,удалено
s20,Off White 3,,,99,399,11.06.2020,25.06.2020,1 \ 2\ 3 \4,Винил, ,удалено
62,СОНИК,,,990,4 990,04.06.2020,11.06.2020,1 \ 2,Номера,,1
63,ХАЕА-12,,,490,4 990,04.06.2020,11.06.2020,3 \ 4,Номера,,2
6593,Lincoln town car 1989,,2 900 000,2 990,5 490,04.02.2021,11.02.2021,1 \ 2\ 3 \4,Транспорт,,
6590,Chevrolet Tahoe,,4 900 000,1 900,3 490,15.04.2021,22.04.2021,3 \ 4,Транспорт,,
6592,Audi Q7,,5 000 000,3 990,5 590,18.03.2021,25.03.2021,1 \ 2,Транспорт,,
6534,Mitsubishi Lancer 9 Evo,,3 490 000,2 490,5 990,11.03.2021,18.03.2021,3 \ 4,Транспорт,,в салон
6713,Лети,,219 000,99,219,03.06.2020,17.06.2020,1 \ 2\ 3 \4,Скин,,в салон
6718,Тренер,,499 000,199,499,11.06.2020,18.06.2020,1 \ 2\ 3 \4,Скин,,
64,СТИНКИ,,,990,4 990,11.06.2020,18.06.2020,1 \ 2,Номера,,
65,БРО,,,490,4 990,11.06.2020,18.06.2020,3 \ 4,Номера,,
66,ФЛЕКС,,,490,4 990,18.06.2020,25.06.2020,3 \ 4,Номера,,
67,ГИГАЧАД,,,990,4 990,18.06.2020,25.06.2020,1 \ 2,Номера,,
68,РИКАРДА,,,990,4 990,25.06.2020,02.07.2020,1 \ 2,Номера,,
69,ЧЕКАННЫЙ,,,490,4 990,25.06.2020,02.07.2020,3 \ 4,Номера,,
6715,Мистер Блэк,,300000,99,499,25.06.2020,02.07.2020,1 \ 2\ 3 \4,Скин,,
70,ЛУТИНГ,,,990,4 990,02.07.2020,09.07.2020,1 \ 2,Номера,,
71,СПАСИБО,,,490,4 990,02.07.2020,09.07.2020,3 \ 4,Номера,,
s21,Охотник,,,199,699,11.02.2021,18.02.2021,1 \ 2\ 3 \4,Винил,,
s22,Черепа,,,169,599,17.12.2020,24.12.2020,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/1SWcD2HUXrGG44b_tw6ZaLTNn3WSMzde8
s23,Феникс,,,99,399,14.01.2021,21.01.2021,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/1SWcD2HUXrGG44b_tw6ZaLTNn3WSMzde8
s24,Мать Драконов,,,149,499,25.02.2021,04.03.2021,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/1SWcD2HUXrGG44b_tw6ZaLTNn3WSMzde8
s25,Кошка,,,69,299,07.01.2021,14.01.2021,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/1SWcD2HUXrGG44b_tw6ZaLTNn3WSMzde8
s26,Девушка,,,79,299,14.01.2021,21.01.2021,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/1SWcD2HUXrGG44b_tw6ZaLTNn3WSMzde8
s27,Кибер воительница,,,129,499,29.04.2021,06.05.2021,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/1SWcD2HUXrGG44b_tw6ZaLTNn3WSMzde8
s28,Кибер убийца,,,159,599,26.11.2020,03.12.2020,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/1SWcD2HUXrGG44b_tw6ZaLTNn3WSMzde8
s29,Армани,,,99,399,06.08.2020,13.08.2020,1 \ 2\ 3 \4,Винил, ,удалено
s30,Стоун,-,,99,399,01.12.2020,08.12.2020,1 \ 2\ 3 \4,Винил, ,удалено
s31,РР,,,99,399,23.07.2020,06.08.2020,1 \ 2\ 3 \4,Винил, ,удалено
s32,LV,,,99,399,30.07.2020,13.08.2020,1 \ 2\ 3 \4,Винил, ,удалено
s33,Lacoste,,,99,399,13.08.2020,27.08.2020,1 \ 2\ 3 \4,Винил, ,удалено
72,ОБНУЛЯТЬ,,,990,4 990,09.07.2020,16.07.2020,1 \ 2,Номера,,
73,МОЯ,,,490,4 990,09.07.2020,16.07.2020,3 \ 4,Номера,,
74,ХАРДБАСС,,,990,4 990,16.07.2020,23.07.2020,1 \ 2,Номера,,
75,ГУРГЕН,,,490,4 990,16.07.2020,23.07.2020,3 \ 4,Номера,,
76,ТАНК,,,490,4 990,30.07.2020,06.08.2020,3 \ 4,Номера,,
6594,Toyota Chaser x100,,3 190 000,2 490,5 000,22.04.2021,29.04.2021,1\ 2\ 3 ,Транспорт,,
462,Suzuki GSX1300R Hayabusa,,6000,4 490,12 000,13.08.2020,20.08.2020,1 \ 2,Транспорт,,
6595,BMW X6M (F96),,9 590 000,5 290,10 000,29.04.2021,06.05.2021,1 \ 2,Транспорт,,
6598,Mercedes-Benz W124 (E500),,2 990 000,2 990,5 000,10.12.2020,17.12.2020,1\2\ 3 \ 4,Транспорт,,
6599,Peugeot 406 (Special),,5 490 000,3 490,6 990,27.08.2020,03.09.2020,1\2\ 3 \ 4,Транспорт,,
77,ARMANI,,,990,4 990,06.08.2020,13.08.2020,1 \ 2,Номера,,
78,DODGE,,,490,4 990,06.08.2020,13.08.2020,3 \ 4,Номера,,
79,DRifT,,,990,4 990,13.08.2020,20.08.2020,1 \ 2,Номера,,
80,ПАНК,,,490,4 990,13.08.2020,20.08.2020,3 \ 4,Номера,,
81,УБИЙЦА,,,990,4 990,04.03.2021,11.03.2021,1 \ 2\ 3,Номера,,
82,КЛАССИКА,,,490,4 990,04.03.2021,11.03.2021,2\ 3 \4,Номера,,
83,МАРСЕЛЬ,,,990,4 990,27.08.2020,03.09.2020,1 \ 2,Номера,,
84,СКОРОСТЬ,,,490,4 990,27.08.2020,03.09.2020,3 \ 4,Номера,,
s34,21,,,169,699,19.11.2020,26.11.2020,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/19iHaPB6OgAy0_3uu2o_sGJqoBCP3U6zZ
s35,Безумие,,,69,499,26.11.2020,03.12.2020,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/19iHaPB6OgAy0_3uu2o_sGJqoBCP3U6zZ
s36,Вечная любовь,,,139,799,18.02.2021,25.02.2021,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/19iHaPB6OgAy0_3uu2o_sGJqoBCP3U6zZ
s37,Дедпул,,,139,799,18.02.2021,25.02.2021,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/19iHaPB6OgAy0_3uu2o_sGJqoBCP3U6zZ
s38,Киберлайф,,,69,499,25.02.2021,04.03.2021,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/19iHaPB6OgAy0_3uu2o_sGJqoBCP3U6zZ
