victory,Happy,,,,,,"$5,000.00",,Winrate_happy,,,
5,horse,horse_mask,"599,000","1,500,000",Маска_Коня,acces,$0.0067,0.0175%,,,,
5,neon_42,living_fire,"799,000","1,990,000",Живой огонь,neon,$0.0050,0.0130%,,,,
,Постоянные предметы,,,,,,,,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0033,0.0086%,,,,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0100,0.0261%,,,,
4,750,750k,"750,000","750,000",рублей,money,$0.0133,0.0347%,,,,
3,500,500k,"500,000","500,000",рублей,money,$0.0200,0.0521%,,,,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0333,0.0868%,,,,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.0667,0.1738%,,,,
3,100,100k,"100,000","100,000",рублей,money,$0.1000,0.2605%,,,,
3,,,"99,000","99,000",Бронзовый кейс,,$0.1010,0.2632%,,,,
3,,,"87,000","87,000",3 Жетона,,$0.1149,0.2994%,,,,
2,,,"29,000","29,000",Жетон,,$0.3448,0.8984%,,,,
2,repairbox,,"25,000","25,000",Рем. комплект,other,$0.4000,1.0422%,,,,
1,,,"4,000","12,000",exp,exp,$0.8333,2.1712%,,,,
1,,,"2,500","2,500",рублей,money,$4.0000,10.4220%,,,,
1,,,"2,500","2,500",рублей,money,$4.0000,10.4220%,,,,
1,,,"2,000","2,000",рублей,money,$5.0000,13.0274%,,,,
1,,,"2,000","2,000",рублей,money,$5.0000,13.0274%,,,,
1,,,"2,500","2,500",рублей,money,$4.0000,10.4220%,,,,
3,56,lone_wolf,"450,000","60,000",Одинокая волчица,skin,$0.1667,0.4343%,,,,
3,50,soviet,"99,000","50,000",Советский,vinyl,$0.2000,0.5211%,,,,
4,35,dance_8,"1,000,000","30,000",Танец_8,anim,$0.3333,0.8684%,,,,
3,50,50k,"50,000","50,000",рублей,money,$0.2000,0.5211%,,,,
2,25,25k,"25,000","25,000",рублей,money,$0.4000,1.0422%,,,,
2,20,20k,"20,000","30,000",exp,exp,$0.3333,0.8684%,,,,
1,1100,2k_exp,"2,000","6,000",exp,exp,$1.6667,4.3426%,,,,
1,10,10k,"10,000","10,000",рублей,money,$1.0000,2.6055%,,,,
1,1050,2k_exp,"2,000","6,000",exp,exp,$1.6667,4.3426%,,,,
1,2,2k,"2,000","2,000",рублей,money,$5.0000,13.0274%,,,,
1,3,3k,"3,000","3,000",рублей,money,$3.3333,8.6849%,,,,
,,,,,,,38.3805,100.0000%,,,,
,,,,,,,,,,,,
,Story,,,,,,"$15,000.00",,,,,
,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,Winrate_story,,,
,,,,,,,,,91.29%,,,
5,6585,rolls_royce_phantom,"15,900,000","15,900,000",Rolls - Royce Phantom,car,$0.0009,0.0025%,,,,
5,33,wolf,"3,000,000","5,500,000",Волк,skin,$0.0027,0.0071%,,,,
5,91,griezman,"1,925,000","2,500,000",Гризман,skin,$0.0060,0.0156%,,,,
5,6740,rick,"1,290,000","1,190,000",Рик,skin,$0.0126,0.0329%,,,,
5,s36,eternal_love,"149,000","1,500,000","Вечная любовь
",vinyl,$0.0100,0.0261%,,,,
5,neon_21,ussr,"483,000","1,500,000",СССР,neon,$0.0100,0.0261%,,,,
5,horse,horse_mask,"599,000","1,500,000",Маска_Коня,acces,$0.0100,0.0261%,,,,
5,neon_42,living_fire,"799,000","1,990,000",Живой огонь,neon,$0.0075,0.0197%,,,,
,Постоянные предметы,,,,,,,0.0000%,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0050,0.0130%,,,,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0150,0.0391%,,,,
4,750,750k,"750,000","750,000",рублей,money,$0.0200,0.0522%,,,,
3,500,500k,"500,000","500,000",рублей,money,$0.0300,0.0782%,,,,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0500,0.1304%,,,,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.1000,0.2608%,,,,
3,100,100k,"100,000","100,000",рублей,money,$0.1500,0.3912%,,,,
3,,,"149,000","149,000",Серебряный кейс,,$0.1007,0.2626%,,,,
3,,,"297,000","297,000",3 VIP жетонов,,$0.0505,0.1317%,,,,
3,,,"99,000","99,000",VIP жетон,,$0.1515,0.3952%,,,,
1,,,"6,000","18,000",exp,exp,$0.8333,2.1735%,,,,
1,,,"4,500","13,500",exp,exp,$1.1111,2.8980%,,,,
1,,,"5,000","5,000",рублей,money,$3.0000,7.8245%,,,,
1,,,"3,000","3,000",рублей,money,$5.0000,13.0408%,,,,
1,,,"2,500","2,500",рублей,money,$6.0000,15.6489%,,,,
1,,,"3,000","3,000",рублей,money,$5.0000,13.0408%,,,,
3,56,lone_wolf,"450,000","60,000",Одинокая волчица,skin,$0.2500,0.6520%,,,,
3,50,soviet,"99,000","50,000",Советский,vinyl,$0.3000,0.7824%,,,,
4,35,dance_8,"1,000,000","30,000",Танец_8,anim,$0.5000,1.3041%,,,,
3,50,50k,"50,000","50,000",рублей,money,$0.3000,0.7824%,,,,
2,25,25k,"25,000","25,000",рублей,money,$0.6000,1.5649%,,,,
2,20,20k,"20,000","60,000",exp,exp,$0.2500,0.6520%,,,,
1,1100,7k_exp,"7,000","21,000",exp,exp,$0.7143,1.8630%,,,,
1,10,10k,"10,000","10,000",рублей,money,$1.5000,3.9122%,,,,
1,1050,5k_exp,"5,000","15,000",exp,exp,$1.0000,2.6082%,,,,
1,2,2k,"2,000","2,000",рублей,money,$7.5000,19.5612%,,,,
1,4,4k,"4,000","4,000",рублей,money,$3.7500,9.7806%,,,,
,,,,,,,38.3412349,100.0000%,,,,
