california,Happy,Запуск 10.06,,,,,"$5,000.00",,Winrate_happy,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0017,0.0042%,,,,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0050,0.0125%,,,,
4,750,750k,"750,000","750,000",рублей,money,$0.0067,0.0167%,,,,
3,500,500k,"500,000","500,000",рублей,money,$0.0100,0.0249%,,,,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0167,0.0417%,,,,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.0333,0.0831%,,,,
3,,,"87,000","87,000",3 Жетона,,$0.0575,0.14%,,,,
2,,,"29,000","29,000",Жетон,,$0.1724,0.43%,,,,
2,,repairbox,"25,000","25,000",Рем. комплект,other,$0.2000,0.50%,,,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.24%,,,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.24%,,,,
1,,,"1,500","1,500",рублей,money,$3.3333,8.32%,,,,
1,,,"1,500","1,500",рублей,money,$3.3333,8.32%,,,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.24%,,,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.24%,,,,
1,,,"1,500","1,500",рублей,money,$3.3333,8.32%,,,,
1,,,"1,000","1,000",рублей,money,$5.0000,12.47%,,,,
3,glasses3,tactical_glasses,"279,000","60,000",Тактические_очки,acces,$0.0833,0.21%,,,,
3,s34,21,"169,000","1,500,000",21,vinyl,$0.0033,0.01%,,,,
4,40,dance_13,"1,200,000","30,000",Танец_13,anim,$0.1667,0.42%,,,,
2,30,30k,"30,000","30,000",рублей,money,$0.1667,0.42%,,,,
2,20,20k,"20,000","20,000",рублей,money,$0.2500,0.62%,,,,
2,10,10k,"10,000","10,000",рублей,money,$0.5000,1.25%,,,,
1,5,5k,"5,000","15,000",exp,exp,$0.3333,0.83%,,,,
1,1100,3k_exp,"3,000","9,000",exp,exp,$0.5556,1.39%,,,,
1,2,2k,"2,000","2,000",рублей,money,$2.5000,6.24%,,,,
1,1050,1_exp,"1,000","3,000",exp,exp,$1.6667,4.16%,,,,
1,1_5,1_5k,"1,500","1,500",рублей,money,$3.3333,8.32%,,,,
1,1,1k,"1,000","1,000",рублей,money,$5.0000,12.47%,,,,
,,,,,,,$40.0818,100.0000%,,,,
,,,,,,,,,,,,
,Fortune,,,,,,"$10,000.00",,Winrate_fortune,,,
,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,94.03%,,,
5,6579,ferrari_california_t2015,"22,900,000","22,900,000",Ferrari California T 2015,car,$0.0004,0.0010%,,,,
5,140,hitman,"990,000","5,500,000",Хитмен,skin,$0.0018,0.0047%,,,,
5,96,connor_mak_gregor,"2,100,000","2,500,000",Конор Мак Грегор,skin,$0.0040,0.0105%,,,,
5,272,neo,"690,000","1,190,000",Нео,skin,$0.0084,0.0220%,,,,
5,neon_49,dubstep,"149,000","1,500,000",Дабстеп,neon,$0.0067,0.0175%,,,,
5,neon_62,neon_flame,"959,000","1,500,000",Неоновое пламя,neon,$0.0067,0.0175%,,,,
5,73,megan,"790,000","1,500,000",Меган,skin,$0.0067,0.0175%,,,,
5,m3_acse01,sombrero,"799,000","1,990,000",Сомбреро,acces,$0.0050,0.0131%,,,,
,Постоянные предметы,,,,,,,,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0033,0.0086%,,,,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0100,0.0262%,,,,
4,750,750k,"750,000","750,000",рублей,money,$0.0133,0.0348%,,,,
3,500,500k,"500,000","500,000",рублей,money,$0.0200,0.0524%,,,,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0333,0.0872%,,,,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.0667,0.1747%,,,,
3,100,100k,"100,000","100,000",рублей,money,$0.1000,0.2619%,,,,
3,,,"99,000","99,000",Бронзовый кейс,,$0.1010,0.2645%,,,,
3,,,"87,000","87,000",3 Жетона,,$0.1149,0.3009%,,,,
2,,,"29,000","29,000",Жетон,,$0.3448,0.9029%,,,,
2,repairbox,,"25,000","25,000",Рем. комплект,other,$0.4000,1.0475%,,,,
1,,,"4,000","12,000",exp,exp,$0.8333,2.1822%,,,,
1,,,"2,500","2,500",рублей,money,$4.0000,10.4748%,,,,
1,,,"2,500","2,500",рублей,money,$4.0000,10.4748%,,,,
1,,,"2,000","2,000",рублей,money,$5.0000,13.0935%,,,,
1,,,"2,000","2,000",рублей,money,$5.0000,13.0935%,,,,
1,,,"2,500","2,500",рублей,money,$4.0000,10.4748%,,,,
3,glasses3,tactical_glasses,"279,000","60,000",Тактические_очки,acces,$0.1667,0.4365%,,,,
3,s34,21,"169,000","1,500,000",21,vinyl,$0.0067,0.0175%,,,,
4,40,dance_13,"1,200,000","30,000",Танец_13,anim,$0.3333,0.8728%,,,,
3,50,50k,"50,000","50,000",рублей,money,$0.2000,0.5237%,,,,
2,25,25k,"25,000","25,000",рублей,money,$0.4000,1.0475%,,,,
2,20,20k,"20,000","30,000",exp,exp,$0.3333,0.8728%,,,,
1,1100,2k_exp,"2,000","6,000",exp,exp,$1.6667,4.3646%,,,,
1,10,10k,"10,000","10,000",рублей,money,$1.0000,2.6187%,,,,
1,1050,2k_exp,"2,000","6,000",exp,exp,$1.6667,4.3646%,,,,
1,2,2k,"2,000","2,000",рублей,money,$5.0000,13.0935%,,,,
1,3,3k,"3,000","3,000",рублей,money,$3.3333,8.7289%,,,,
,,,,,,,$38.1870,100.0000%,,,,
,,,,,,,,,,,,
,Story,,,,,,"$15,000.00",,Winrate_story,,,
,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,91.98%,,,
5,6579,ferrari_california_t2015,"22,900,000","22,900,000",Ferrari California T 2015,car,$0.0007,0.0017%,,,,
5,140,hitman,"990,000","5,500,000",Хитмен,skin,$0.0027,0.0072%,,,,
5,96,connor_mak_gregor,"2,100,000","2,500,000",Конор Мак Грегор,skin,$0.0060,0.0158%,,,,
5,272,neo,"690,000","1,190,000",Нео,skin,$0.0126,0.0331%,,,,
5,neon_49,dubstep,"149,000","1,500,000",Дабстеп,neon,$0.0100,0.0263%,,,,
5,neon_62,neon_flame,"959,000","1,500,000",Неоновое пламя,neon,$0.0100,0.0263%,,,,
5,73,megan,"790,000","1,500,000",Меган,skin,$0.0100,0.0263%,,,,
5,m3_acse01,sombrero,"799,000","1,990,000",Сомбреро,acces,$0.0075,0.0198%,,,,
,Постоянные предметы,,,,,,,0.0000%,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0050,0.0131%,,,,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0150,0.0394%,,,,
4,750,750k,"750,000","750,000",рублей,money,$0.0200,0.0526%,,,,
3,500,500k,"500,000","500,000",рублей,money,$0.0300,0.0788%,,,,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0500,0.1314%,,,,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.1000,0.2628%,,,,
3,100,100k,"100,000","100,000",рублей,money,$0.1500,0.3942%,,,,
3,,,"149,000","149,000",Серебряный кейс,,$0.1007,0.2646%,,,,
3,,,"297,000","297,000",3 VIP жетонов,,$0.0505,0.1327%,,,,
3,,,"99,000","99,000",VIP жетон,,$0.1515,0.3982%,,,,
1,,,"6,000","18,000",exp,exp,$0.8333,2.1900%,,,,
1,,,"4,500","13,500",exp,exp,$1.1111,2.9201%,,,,
1,,,"5,000","5,000",рублей,money,$3.0000,7.8842%,,,,
1,,,"3,000","3,000",рублей,money,$5.0000,13.1403%,,,,
1,,,"2,500","2,500",рублей,money,$6.0000,15.7683%,,,,
1,,,"3,000","3,000",рублей,money,$5.0000,13.1403%,,,,
3,glasses3,tactical_glasses,"279,000","60,000",Тактические_очки,acces,$0.2500,0.6570%,,,,
3,s34,21,"169,000","1,500,000",21,vinyl,$0.0100,0.0263%,,,,
4,40,dance_13,"1,200,000","30,000",Танец_13,anim,$0.5000,1.3140%,,,,
3,50,50k,"50,000","50,000",рублей,money,$0.3000,0.7884%,,,,
2,25,25k,"25,000","25,000",рублей,money,$0.6000,1.5768%,,,,
2,20,20k,"20,000","60,000",exp,exp,$0.2500,0.6570%,,,,
1,1100,7k_exp,"7,000","21,000",exp,exp,$0.7143,1.8772%,,,,
1,10,10k,"10,000","10,000",рублей,money,$1.5000,3.9421%,,,,
1,1050,5k_exp,"5,000","15,000",exp,exp,$1.0000,2.6281%,,,,
1,2,2k,"2,000","2,000",рублей,money,$7.5000,19.7104%,,,,
1,4,4k,"4,000","4,000",рублей,money,$3.7500,9.8552%,,,,
,,,,,,,$38.0509,100.0000%,,,,
,,,,,,,,,,,,
,Crazy,,,,,,"$20,000.00",,Winrate_story,,,
,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,91.41%,,,
5,6579,ferrari_california_t2015,"22,900,000","22,900,000",Ferrari California T 2015,car,$0.0009,0.0023%,,,,
5,140,hitman,"990,000","5,500,000",Хитмен,skin,$0.0036,0.0095%,,,,
5,96,connor_mak_gregor,"2,100,000","2,500,000",Конор Мак Грегор,skin,$0.0080,0.0209%,,,,
5,272,neo,"690,000","1,190,000",Нео,skin,$0.0168,0.0439%,,,,
5,neon_49,dubstep,"149,000","1,500,000",Дабстеп,neon,$0.0133,0.0348%,,,,
5,neon_62,neon_flame,"959,000","1,500,000",Неоновое пламя,neon,$0.0133,0.0348%,,,,
5,73,megan,"790,000","1,500,000",Меган,skin,$0.0133,0.0348%,,,,
5,m3_acse01,sombrero,"799,000","1,990,000",Сомбреро,acces,$0.0101,0.0262%,,,,
,Постоянные предметы,,,,,,,,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0067,0.0174%,,,,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0200,0.0522%,,,,
4,750,750k,"750,000","750,000",рублей,money,$0.0267,0.0696%,,,,
3,500,500k,"500,000","500,000",рублей,money,$0.0400,0.1045%,,,,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0667,0.1741%,,,,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.1333,0.3482%,,,,
3,100,100k,"100,000","100,000",рублей,money,$0.2000,0.5223%,,,,
3,,,"149,000","149,000",Серебряный кейс,,$0.1342,0.3506%,,,,
3,,,"297,000","297,000",3 VIP жетонов,,$0.0673,0.1759%,,,,
3,,,"99,000","99,000",VIP жетон,,$0.2020,0.5276%,,,,
1,,,"6,000","18,000",exp,exp,$1.1111,2.9018%,,,,
1,,,"4,500","13,500",exp,exp,$1.4815,3.8691%,,,,
1,,,"7,500","7,500",рублей,money,$2.6667,6.9643%,,,,
1,,,"5,000","5,000",рублей,money,$4.0000,10.4465%,,,,
1,,,"4,000","4,000",рублей,money,$5.0000,13.0581%,,,,
1,,,"3,000","3,000",рублей,money,$6.6667,17.4109%,,,,
3,glasses3,tactical_glasses,"279,000","60,000",Тактические_очки,acces,$0.3333,0.8705%,,,,
3,s34,21,"169,000","1,500,000",21,vinyl,$0.0133,0.0348%,,,,
4,40,dance_13,"1,200,000","30,000",Танец_13,anim,$0.6667,1.7411%,,,,
3,55,55k,"55,000","55,000",рублей,money,$0.3636,0.9497%,,,,
2,25,25k,"25,000","25,000",рублей,money,$0.8000,2.0893%,,,,
2,20,20k,"25,000","75,000",exp,exp,$0.2667,0.6964%,,,,
1,1100,8k_exp,"8,000","24,000",exp,exp,$0.8333,2.1764%,,,,
1,15,15k,"15,000","15,000",рублей,money,$1.3333,3.4822%,,,,
1,1050,6k_exp,"6,000","18,000",exp,exp,$1.1111,2.9018%,,,,
1,3,3k,"3,000","3,000",рублей,money,$6.6667,17.4109%,,,,
1,5,5k,"5,000","5,000",рублей,money,$4.0000,10.4465%,,,,
,,,,,,,$38.2903,100.0000%,,,,
,,,,,,,,,,,,
,VIP,,,,,,"$25,000.00",,Winrate_story,,,
,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,90.32%,,,
5,6579,ferrari_california_t2015,"22,900,000","22,900,000",Ferrari California T 2015,car,$0.0011,0.0028%,,,,
5,140,hitman,"990,000","5,500,000",Хитмен,skin,$0.0045,0.0117%,,,,
5,96,connor_mak_gregor,"2,100,000","2,500,000",Конор Мак Грегор,skin,$0.0100,0.0258%,,,,
5,272,neo,"690,000","1,190,000",Нео,skin,$0.0210,0.0542%,,,,
5,neon_49,dubstep,"149,000","1,500,000",Дабстеп,neon,$0.0167,0.0430%,,,,
5,neon_62,neon_flame,"959,000","1,500,000",Неоновое пламя,neon,$0.0167,0.0430%,,,,
5,73,megan,"790,000","1,500,000",Меган,skin,$0.0167,0.0430%,,,,
5,m3_acse01,sombrero,"799,000","1,990,000",Сомбреро,acces,$0.0126,0.0324%,,,,
,Постоянные предметы,,,,,,,,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0083,0.0215%,,,,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0250,0.0645%,,,,
4,750,750k,"750,000","750,000",рублей,money,$0.0333,0.0860%,,,,
3,500,500k,"500,000","500,000",рублей,money,$0.0500,0.1290%,,,,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0833,0.2151%,,,,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.1667,0.4301%,,,,
3,100,100k,"100,000","100,000",рублей,money,$0.2500,0.6452%,,,,
3,,,"249,000","249,000",Кейс Monte-Carlo,,$0.1004,0.2591%,,,,
3,,,"297,000","297,000",3 VIP жетонов,,$0.0842,0.2172%,,,,
3,,,"99,000","99,000",VIP жетон,,$0.2525,0.6517%,,,,
1,,,"6,000","18,000",exp,exp,$1.3889,3.5842%,,,,
1,,,"4,500","13,500",exp,exp,$1.8519,4.7789%,,,,
1,,,"15,000","15,000",рублей,money,$1.6667,4.3010%,,,,
1,,,"7,500","7,500",рублей,money,$3.3333,8.6021%,,,,
1,,,"5,000","5,000",рублей,money,$5.0000,12.9031%,,,,
1,,,"3,000","3,000",рублей,money,$8.3333,21.5052%,,,,
3,glasses3,tactical_glasses,"279,000","60,000",Тактические_очки,acces,$0.4167,1.0753%,,,,
3,s34,21,"169,000","1,500,000",21,vinyl,$0.0167,0.0430%,,,,
4,40,dance_13,"1,200,000","30,000",Танец_13,anim,$0.8333,2.1505%,,,,
3,75,75k,"75,000","75,000",рублей,money,$0.3333,0.8602%,,,,
2,45,45k,"45,000","45,000",рублей,money,$0.5556,1.4337%,,,,
2,30,30k,"30,000","95,000",exp,exp,$0.2632,0.6791%,,,,
1,1100,9k_exp,"9,000","27,000",exp,exp,$0.9259,2.3895%,,,,
1,15,15k,"15,000","15,000",рублей,money,$1.6667,4.3010%,,,,
1,1050,7k_exp,"7,000","21,000",exp,exp,$1.1905,3.0722%,,,,
1,4,4k,"4,000","4,000",рублей,money,$6.2500,16.1289%,,,,
1,7,7k,"7,000","7,000",рублей,money,$3.5714,9.2165%,,,,
,,,,,,,$38.7503,100.0000%,,,,
,,,,,,,,,,,,
Progression rewards,,,,,,,,,,,,
prize_id,id,name,cost,name_ingame,type,currency,,,,,,
,,,,,,,,,,,,
Common,,,,,,,,,,,,
1,50k_soft,50k_soft,50000,50000 софты,soft,soft,,,,,,
2,100k_soft,100k_soft,100000,100000 софты,soft,soft,,,,,,
3,neon_62,neon_flame,"959,000",Неоновое пламя,neon,soft,,,,,,
4,73,megan,"790,000",Меган,skin,soft,,,,,,
5,272,neo,"690,000",Нео,skin,soft,,,,,,
Premium,,,,,,,,,,,,
1,vinyl_case3,vinyl_case3,269000-449000,"Винил кейс ""Королевский""",other,soft,,,,,,
2,tuning_case2,tuning_case2,142500-1596000,"Тюнинг кейс ""Счастливчик""",other,soft,,,,,,
3,m3_acse01,sombrero,"799,000",Сомбреро,acces,soft,,,,,,
4,140,hitman,"990,000",Хитмен,skin,soft,,,,,,
5,96,connor_mak_gregor,"2,100,000",Конор Мак Грегор,skin,soft,,,,,,
